"","X","GAME_ID","EVENTNUM","EVENTMSGTYPE","EVENTMSGACTIONTYPE","PERIOD","WCTIMESTRING","PCTIMESTRING","HOMEDESCRIPTION","NEUTRALDESCRIPTION","VISITORDESCRIPTION","SCORE","SCOREMARGIN","PERSON1TYPE","PLAYER1_ID","PLAYER1_NAME","PLAYER1_TEAM_ID","PLAYER1_TEAM_CITY","PLAYER1_TEAM_NICKNAME","PLAYER1_TEAM_ABBREVIATION","PERSON2TYPE","PLAYER2_ID","PLAYER2_NAME","PLAYER2_TEAM_ID","PLAYER2_TEAM_CITY","PLAYER2_TEAM_NICKNAME","PLAYER2_TEAM_ABBREVIATION","PERSON3TYPE","PLAYER3_ID","PLAYER3_NAME","PLAYER3_TEAM_ID","PLAYER3_TEAM_CITY","PLAYER3_TEAM_NICKNAME","PLAYER3_TEAM_ABBREVIATION","home","away","winner","loser"
"1",1,21500002,0,12,0,1,"8:03 PM","12:00",NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"2",2,21500002,1,10,0,1,"8:03 PM","12:00","Jump Ball Gasol vs. Mozgov: Tip to Rose",NA,NA,NA,NA,4,2200,"Pau Gasol",1610612741,"Chicago","Bulls","CHI",5,202389,"Timofey Mozgov",1610612739,"Cleveland","Cavaliers","CLE",4,201565,"Derrick Rose",1610612741,"Chicago","Bulls","CHI","1610612741","1610612739","1610612741","1610612739"
"3",3,21500002,2,2,75,1,"8:03 PM","11:35","MISS Mirotic 3' Driving Finger Roll Layup",NA,NA,NA,NA,4,202703,"Nikola Mirotic",1610612741,"Chicago","Bulls","CHI",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"4",4,21500002,3,4,0,1,"8:03 PM","11:34",NA,NA,"Love REBOUND (Off:0 Def:1)",NA,NA,5,201567,"Kevin Love",1610612739,"Cleveland","Cavaliers","CLE",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"5",5,21500002,4,1,7,1,"8:03 PM","11:23",NA,NA,"Love  Dunk (2 PTS) (James 1 AST)","2 - 0","-2",5,201567,"Kevin Love",1610612739,"Cleveland","Cavaliers","CLE",5,2544,"LeBron James",1610612739,"Cleveland","Cavaliers","CLE",0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"6",6,21500002,5,2,1,1,"8:04 PM","11:11","MISS Rose 4' Jump Shot",NA,"Mozgov BLOCK (1 BLK)",NA,NA,4,201565,"Derrick Rose",1610612741,"Chicago","Bulls","CHI",0,0,NA,NA,NA,NA,NA,5,202389,"Timofey Mozgov",1610612739,"Cleveland","Cavaliers","CLE","1610612741","1610612739","1610612741","1610612739"
"7",7,21500002,6,4,0,1,"8:04 PM","11:09",NA,NA,"Mozgov REBOUND (Off:0 Def:1)",NA,NA,5,202389,"Timofey Mozgov",1610612739,"Cleveland","Cavaliers","CLE",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"8",8,21500002,7,1,1,1,"8:04 PM","11:03",NA,NA,"Williams 21' Jump Shot (2 PTS)","4 - 0","-4",5,2590,"Mo Williams",1610612739,"Cleveland","Cavaliers","CLE",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"9",9,21500002,8,2,1,1,"8:04 PM","10:49","MISS Gasol 19' Jump Shot",NA,NA,NA,NA,4,2200,"Pau Gasol",1610612741,"Chicago","Bulls","CHI",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
"10",10,21500002,9,4,0,1,"8:04 PM","10:47",NA,NA,"James REBOUND (Off:0 Def:1)",NA,NA,5,2544,"LeBron James",1610612739,"Cleveland","Cavaliers","CLE",0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA,NA,"1610612741","1610612739","1610612741","1610612739"
