"gameid","playid","team_id","player_id","Oteam2","shooter","eventid","dt","three","clock","quarter","teamName","finalcount","player","shootername","threedeep"
"0021500410",10,58,201585,0,201158,117,17.24,3.2,151.12,1,"Sacramento Kings",39,"Koufos","Belinelli",3.08
"0021500410",17,58,202326,0,200752,227,3.64000000000004,3.72,269.17,2,"Sacramento Kings",39,"Cousins","Gay",NA
"0021500410",20,58,203463,0,203552,262,3.16000000000001,3.2,96.51,2,"Sacramento Kings",39,"McLemore","Curry",NA
"0021500410",20,58,203552,0,203552,262,10.88,3.44,106.07,2,"Sacramento Kings",39,"Curry","Curry",3.04
"0021500410",25,64,1626162,0,202066,332,3.56999999999999,3.6,376.42,3,"Washington Wizards",40,"Oubre","Temple",3.2
"0021500410",26,58,202326,0,201954,340,5.24000000000001,5.28,313.95,3,"Sacramento Kings",39,"Cousins","Collison",NA
"0021500410",27,58,201585,0,201158,370,13.72,3.72,183.83,3,"Sacramento Kings",39,"Koufos","Belinelli",NA
"0021500411",1,50,2419,0,1626157,11,4.26999999999998,4.32,642.48,1,"Minnesota Timberwolves",41,"Prince","Towns",3.32
"0021500411",6,38,203092,0,201973,103,8.20000000000002,3.08,195.34,1,"Boston Celtics",39,"Zeller","Jerebko",NA
"0021500411",14,50,1626157,0,203952,242,4.08000000000001,4.04,183.58,2,"Minnesota Timberwolves",41,"Towns","Wiggins",NA
"0021500411",17,50,2419,0,203897,337,6.50999999999999,6.56,329.38,3,"Minnesota Timberwolves",41,"Prince","LaVine",NA
"0021500411",19,50,203897,0,203952,379,7.47,3.88,76.42,3,"Minnesota Timberwolves",41,"LaVine","Wiggins",NA
"0021500411",19,50,1626157,0,203952,379,20.28,7.92,83.16,3,"Minnesota Timberwolves",41,"Towns","Wiggins",4.68
"0021500411",20,38,201973,0,202323,393,3.99000000000001,4,677.9,4,"Boston Celtics",39,"Jerebko","Turner",NA
"0021500411",20,38,203092,0,202323,393,16.38,4.6,688.35,4,"Boston Celtics",39,"Zeller","Turner",NA
"0021500411",21,38,203092,0,1626154,443,4.13999999999999,3.92,439.61,4,"Boston Celtics",39,"Zeller","Hunter",NA
"0021500411",27,38,203482,0,203109,518,7.28,3.2,103.99,4,"Boston Celtics",39,"Olynyk","Crowder",NA
"0021500412",2,53,202696,0,202699,12,5.15999999999997,5.28,639.85,1,"Orlando Magic",41,"Vucevic","Harris",3.28
"0021500412",4,52,101181,0,201167,32,3.19999999999999,3.28,453.76,1,"New York Knicks",44,"Calderon","Afflalo",3.28
"0021500412",4,52,201577,0,201167,32,10.4,4.36,472,1,"New York Knicks",44,"Lopez","Afflalo",3.12
"0021500412",4,52,204001,0,201167,32,5.97000000000003,6.08,466.22,1,"New York Knicks",44,"Porzingis","Afflalo",NA
"0021500412",5,52,204001,0,101181,55,4.85000000000002,3.08,315.99,1,"New York Knicks",44,"Porzingis","Calderon",NA
"0021500412",10,52,202338,0,202682,135,9.56,5.04,518.99,2,"New York Knicks",44,"Seraphin","Williams",NA
"0021500412",13,53,101112,0,202699,162,8.45999999999998,4.08,373,2,"Orlando Magic",41,"Frye","Harris",3.48
"0021500412",13,53,202696,0,202699,162,2.94999999999999,3.04,365.25,2,"Orlando Magic",41,"Vucevic","Harris",3.04
"0021500412",13,53,203095,0,202699,162,11.32,4.84,374.45,2,"Orlando Magic",41,"Fournier","Harris",3.88
"0021500412",15,53,202699,0,203095,184,3.04000000000002,3.08,252.27,2,"Orlando Magic",41,"Harris","Fournier",NA
