"gameid","eventid","quarter","clock","timeinkey","player","shootername","teamName"
"0021500410",117,1,151.12,3.2,"Koufos","Belinelli","Sacramento Kings"
"0021500410",227,2,269.17,3.72,"Cousins","Gay","Sacramento Kings"
"0021500410",262,2,96.51,3.2,"McLemore","Curry","Sacramento Kings"
"0021500410",262,2,106.07,3.44,"Curry","Curry","Sacramento Kings"
"0021500410",332,3,376.42,3.6,"Oubre","Temple","Washington Wizards"
"0021500410",340,3,313.95,5.28,"Cousins","Collison","Sacramento Kings"
"0021500410",370,3,183.83,3.72,"Koufos","Belinelli","Sacramento Kings"
"0021500411",11,1,642.48,4.32,"Prince","Towns","Minnesota Timberwolves"
"0021500411",103,1,195.34,3.08,"Zeller","Jerebko","Boston Celtics"
"0021500411",242,2,183.58,4.04,"Towns","Wiggins","Minnesota Timberwolves"
"0021500411",337,3,329.38,6.56,"Prince","LaVine","Minnesota Timberwolves"
"0021500411",379,3,76.42,3.88,"LaVine","Wiggins","Minnesota Timberwolves"
"0021500411",379,3,83.16,7.92,"Towns","Wiggins","Minnesota Timberwolves"
"0021500411",393,4,677.9,4,"Jerebko","Turner","Boston Celtics"
"0021500411",393,4,688.35,4.6,"Zeller","Turner","Boston Celtics"
"0021500411",443,4,439.61,3.92,"Zeller","Hunter","Boston Celtics"
"0021500411",518,4,103.99,3.2,"Olynyk","Crowder","Boston Celtics"
"0021500412",12,1,639.85,5.28,"Vucevic","Harris","Orlando Magic"
"0021500412",32,1,453.76,3.28,"Calderon","Afflalo","New York Knicks"
"0021500412",32,1,472,4.36,"Lopez","Afflalo","New York Knicks"
"0021500412",32,1,466.22,6.08,"Porzingis","Afflalo","New York Knicks"
"0021500412",55,1,315.99,3.08,"Porzingis","Calderon","New York Knicks"
"0021500412",135,2,518.99,5.04,"Seraphin","Williams","New York Knicks"
"0021500412",162,2,373,4.08,"Frye","Harris","Orlando Magic"
"0021500412",162,2,365.25,3.04,"Vucevic","Harris","Orlando Magic"
"0021500412",162,2,374.45,4.84,"Fournier","Harris","Orlando Magic"
"0021500412",184,2,252.27,3.08,"Harris","Fournier","Orlando Magic"
"0021500412",243,3,639.38,3.28,"Afflalo","Porzingis","New York Knicks"
"0021500412",261,3,453.75,4.52,"Frye","Napier","Orlando Magic"
"0021500412",429,4,71.07,3.4,"Anthony","Afflalo","New York Knicks"
"0021500413",159,2,547.73,4.96,"Davis","Harkless","Portland Trail Blazers"
"0021500413",159,2,537.05,3.04,"Leonard","Harkless","Portland Trail Blazers"
"0021500413",172,2,464.09,3.8,"Scott","Patterson","Atlanta Hawks"
"0021500413",222,2,208.34,5.48,"Splitter","Millsap","Atlanta Hawks"
"0021500413",330,3,393.17,4.84,"Vonleh","Frazier","Portland Trail Blazers"
"0021500413",352,3,268.42,3.8,"Davis","Harkless","Portland Trail Blazers"
"0021500413",385,3,66.22,8.36,"Davis","Harkless","Portland Trail Blazers"
"0021500413",385,3,68.54,4.36,"Leonard","Harkless","Portland Trail Blazers"
"0021500413",389,3,11.18,4.8,"Davis","Henderson","Portland Trail Blazers"
"0021500413",445,4,489.82,3.96,"Horford","Scott","Atlanta Hawks"
"0021500413",472,4,357.7,3.12,"Muscala","Patterson","Atlanta Hawks"
"0021500413",495,4,250.39,3.16,"Henderson","Crabbe","Portland Trail Blazers"
"0021500414",2,1,703.98,4.12,"Young","Johnson","Brooklyn Nets"
"0021500414",2,1,703.98,6.04,"Lopez","Johnson","Brooklyn Nets"
"0021500414",51,1,342.36,5.24,"Lopez","Bogdanovic","Brooklyn Nets"
"0021500414",56,1,300.57,3.4,"Young","Bogdanovic","Brooklyn Nets"
"0021500414",69,1,221.59,3.2,"Young","Johnson","Brooklyn Nets"
"0021500414",69,1,221.19,3.2,"Lopez","Johnson","Brooklyn Nets"
"0021500414",84,1,147.22,4.36,"Young","Jack","Brooklyn Nets"
"0021500414",96,1,67.2,3.16,"Noah","McDermott","Chicago Bulls"
"0021500414",162,2,369.47,5.36,"Bargnani","Ellington","Brooklyn Nets"
"0021500414",212,2,53.44,4.44,"Lopez","Ellington","Brooklyn Nets"
"0021500414",212,2,49.56,4.84,"Ellington","Ellington","Brooklyn Nets"
"0021500414",261,3,439.1,3.84,"Gibson","Mirotic","Chicago Bulls"
"0021500414",293,3,328.42,3.08,"Noah","Mirotic","Chicago Bulls"
"0021500414",293,3,332.9,3.92,"Gibson","Mirotic","Chicago Bulls"
"0021500414",325,3,186.25,4.56,"Noah","Brooks","Chicago Bulls"
"0021500414",325,3,185.53,5.76,"Gibson","Brooks","Chicago Bulls"
"0021500414",338,3,65.75,4.24,"Lopez","Johnson","Brooklyn Nets"
"0021500414",404,4,448.23,3.28,"Gasol","Rose","Chicago Bulls"
"0021500414",404,4,448.23,4.16,"Portis","Rose","Chicago Bulls"
"0021500414",441,4,265.12,6.84,"Young","Johnson","Brooklyn Nets"
"0021500414",441,4,263.92,3.24,"Lopez","Johnson","Brooklyn Nets"
"0021500415",13,1,667.4,3.6,"Zeller","Hairston","Charlotte Hornets"
"0021500415",47,1,475.01,3.24,"Zeller","Hairston","Charlotte Hornets"
"0021500415",50,1,435.76,4.72,"Zeller","Walker","Charlotte Hornets"
"0021500415",76,1,327.29,3.44,"Howard","Terry","Houston Rockets"
"0021500415",87,1,279.46,4.04,"Zeller","Williams","Charlotte Hornets"
"0021500415",131,1,103.82,3.88,"Hawes","Batum","Charlotte Hornets"
"0021500415",134,1,90.49,3.08,"Beverley","Beverley","Houston Rockets"
"0021500415",136,1,69.05,4.32,"Hawes","Walker","Charlotte Hornets"
"0021500415",159,2,686.36,4.48,"Hawes","Hairston","Charlotte Hornets"
"0021500415",178,2,545.8,3.12,"Hawes","Hairston","Charlotte Hornets"
"0021500415",185,2,497.1,4.4,"Hairston","Lamb","Charlotte Hornets"
"0021500415",187,2,476.92,4.04,"Howard","Thornton","Houston Rockets"
"0021500415",187,2,477.73,3.4,"Brewer","Thornton","Houston Rockets"
"0021500415",208,2,372.98,3.24,"Hawes","Hairston","Charlotte Hornets"
"0021500415",212,2,360.18,3.56,"Howard","Harden","Houston Rockets"
"0021500415",208,2,362.24,3.2,"Jones","Harden","Houston Rockets"
"0021500415",304,3,573.32,4.16,"Batum","Hairston","Charlotte Hornets"
"0021500415",304,3,572.76,3.6,"Zeller","Hairston","Charlotte Hornets"
"0021500415",382,3,264.97,3.32,"Capela","Terry","Houston Rockets"
"0021500415",467,4,682.28,3.4,"Lamb","Kaminsky","Charlotte Hornets"
"0021500415",467,4,683.04,3.36,"Kaminsky","Kaminsky","Charlotte Hornets"
"0021500415",488,4,568.4,4.56,"Hawes","Lamb","Charlotte Hornets"
"0021500415",490,4,544.88,3.76,"Jones","Beverley","Houston Rockets"
"0021500415",490,4,544.88,6.48,"Capela","Beverley","Houston Rockets"
"0021500415",523,4,428.3,3.32,"Hawes","Lin","Charlotte Hornets"
"0021500415",523,4,436.1,3.08,"Lamb","Lin","Charlotte Hornets"
"0021500415",527,4,364.51,4.36,"Capela","Harden","Houston Rockets"
"0021500415",564,4,141.61,3.72,"Howard","Harden","Houston Rockets"
"0021500416",167,2,426.87,5.6,"Duncan","Simmons","San Antonio Spurs"
"0021500416",174,2,388.49,3.6,"Duncan","Green","San Antonio Spurs"
"0021500416",190,2,280.18,3.68,"Allen","Stuckey","Indiana Pacers"
"0021500416",195,2,259.63,5.6,"Duncan","Leonard","San Antonio Spurs"
"0021500416",194,2,261.71,3.76,"Parker","Leonard","San Antonio Spurs"
"0021500416",241,3,711.91,3.12,"George","Hill","Indiana Pacers"
"0021500416",270,3,482.76,3.92,"Duncan","Green","San Antonio Spurs"
"0021500416",293,3,367.37,4.32,"Duncan","Ginobili","San Antonio Spurs"
"0021500416",304,3,284.56,4.88,"Aldridge","Leonard","San Antonio Spurs"
"0021500417",33,1,482.85,3.16,"Favors","Hood","Utah Jazz"
"0021500417",60,1,263.01,3.08,"Favors","Hood","Utah Jazz"
"0021500417",71,1,188.89,5,"Chandler","Knight","Phoenix Suns"
"0021500417",111,2,682.08,4.08,"Withey","Burks","Utah Jazz"
"0021500417",121,2,553.21,3.44,"Goodwin","Knight","Phoenix Suns"
"0021500417",220,2,39.07,3.12,"Withey","Hayward","Utah Jazz"
"0021500417",394,4,630.71,5.8,"Booker","Neto","Utah Jazz"
"0021500417",403,4,575.8,3.36,"Lyles","Hayward","Utah Jazz"
"0021500418",15,1,632.59,4.16,"Ibaka","Durant","Oklahoma City Thunder"
"0021500418",51,1,375.56,6.12,"Redick","Redick","Los Angeles Clippers"
"0021500418",51,1,372.44,3.6,"Mbah a Moute","Redick","Los Angeles Clippers"
"0021500418",75,1,194.36,3.88,"Redick","Redick","Los Angeles Clippers"
"0021500418",170,2,494.51,5.36,"Jordan","Crawford","Los Angeles Clippers"
"0021500418",188,2,382.28,3.2,"Collison","Westbrook","Oklahoma City Thunder"
"0021500418",225,2,229.72,3.2,"Ibaka","Durant","Oklahoma City Thunder"
"0021500418",336,3,415.47,3.04,"Redick","Paul","Los Angeles Clippers"
"0021500418",336,3,414.55,6.28,"Jordan","Paul","Los Angeles Clippers"
"0021500418",336,3,426.78,3.72,"Mbah a Moute","Paul","Los Angeles Clippers"
"0021500418",364,3,182.83,8.8,"Crawford","Paul","Los Angeles Clippers"
"0021500418",364,3,175.03,5.92,"Jordan","Paul","Los Angeles Clippers"
"0021500418",416,4,545.59,4.8,"Aldrich","Johnson","Los Angeles Clippers"
"0021500418",479,4,121.15,4.44,"Durant","Durant","Oklahoma City Thunder"
"0021500418",486,4,68.05,3.36,"Griffin","Redick","Los Angeles Clippers"
"0021500418",490,4,55.85,5.56,"Adams","Westbrook","Oklahoma City Thunder"
"0021500419",7,1,681.45,3.4,"Okafor","Canaan","Philadelphia 76ers"
"0021500419",108,1,49.32,4.52,"Noel","Thompson","Philadelphia 76ers"
"0021500419",237,2,229.51,5.32,"Okafor","Covington","Philadelphia 76ers"
"0021500419",266,2,110.64,4.32,"Noel","Stauskas","Philadelphia 76ers"
"0021500419",356,3,238.92,3.12,"Canaan","Thompson","Philadelphia 76ers"
"0021500419",477,4,294.02,3.72,"Noel","Covington","Philadelphia 76ers"
"0021500419",477,4,296.38,3.04,"Okafor","Covington","Philadelphia 76ers"
