"player","teamName","count","countdeepkey","games"
"Acy","Sacramento Kings",7,2,39
"Adams","Memphis Grizzlies",1,0,43
"Adams","Oklahoma City Thunder",59,26,44
"Afflalo","New York Knicks",8,4,44
"Ajinca","New Orleans Pelicans",13,7,42
"Aldrich","Los Angeles Clippers",8,6,38
"Aldridge","San Antonio Spurs",72,29,40
"Allen","Indiana Pacers",31,14,41
"Allen","Memphis Grizzlies",14,6,43
"Aminu","Portland Trail Blazers",21,9,44
"Amundson","New York Knicks",7,3,44
"Andersen","Miami Heat",1,1,42
"Anderson","Dallas Mavericks",2,1,43
"Anderson","New Orleans Pelicans",24,5,42
"Anderson","Sacramento Kings",2,0,39
"Anderson","San Antonio Spurs",4,2,40
"Antetokounmpo","Milwaukee Bucks",16,6,43
"Anthony","Detroit Pistons",12,5,42
"Anthony","New York Knicks",32,9,44
"Ariza","Houston Rockets",7,3,43
"Arthur","Denver Nuggets",26,6,43
"Asik","New Orleans Pelicans",42,17,42
"Augustin","Oklahoma City Thunder",2,0,44
"Babbitt","New Orleans Pelicans",3,0,42
"Barbosa","Golden State Warriors",2,0,41
"Barea","Dallas Mavericks",2,1,43
"Bargnani","Brooklyn Nets",19,6,41
"Barnes","Golden State Warriors",8,1,41
"Barnes","Memphis Grizzlies",17,5,43
"Barton","Denver Nuggets",5,1,43
"Bass","Los Angeles Lakers",30,12,44
"Batum","Charlotte Hornets",25,11,42
"Baynes","Detroit Pistons",72,29,42
"Bazemore","Atlanta Hawks",3,0,41
"Beal","Washington Wizards",5,3,40
"Belinelli","Sacramento Kings",9,4,39
"Beverley","Houston Rockets",10,3,43
"Biyombo","Toronto Raptors",58,30,41
"Bjelica","Minnesota Timberwolves",10,8,41
"Black","Los Angeles Lakers",8,4,44
"Blair","Washington Wizards",14,6,40
"Blake","Detroit Pistons",1,0,42
"Bledsoe","Phoenix Suns",6,3,41
"Bogdanovic","Brooklyn Nets",3,1,41
"Bogut","Golden State Warriors",32,14,41
"Bonner","San Antonio Spurs",5,2,40
"Booker","Phoenix Suns",2,1,41
"Booker","Utah Jazz",79,35,42
"Bosh","Miami Heat",33,14,42
"Bradley","Boston Celtics",9,0,39
"Brewer","Houston Rockets",10,5,43
"Brooks","Chicago Bulls",3,0,38
"Brown","Los Angeles Lakers",4,1,44
"Bryant","Los Angeles Lakers",13,5,44
"Budinger","Indiana Pacers",2,0,41
"Bullock","Detroit Pistons",6,3,42
"Burke","Utah Jazz",5,0,42
"Burks","Utah Jazz",1,1,42
"Butler","Chicago Bulls",14,4,38
"Butler","San Antonio Spurs",2,1,40
"Calderon","New York Knicks",4,2,44
"Caldwell-Pope","Detroit Pistons",25,12,42
"Canaan","Philadelphia 76ers",6,0,39
"Capela","Houston Rockets",74,38,43
"Carroll","Toronto Raptors",8,4,41
